code,name_en,name_zh,name_zh_tw,category,type_raw,tier,durability,defense_min,defense_max,defense_avg,reqstr,qlvl,max_sockets,sockets3,speed,img
nea,Heirophant Trophy,祭司首级,祭司首級,盾牌,head,扩展,20,58,70,64.0,58,54,2,2/2/2,0,assets/equipment/demon_head.webp
drb,Blood Spirit,血系灵兽帽,血系靈獸帽,头盔,pelt,精英,20,101,145,123.0,86,62,3,2/3/3,0,assets/equipment/wolf_head.webp
drc,Sun Spirit,日阳灵兽帽,日陽靈獸帽,头盔,pelt,精英,20,98,147,122.5,95,69,3,2/3/3,0,assets/equipment/hawk_helm.webp
drd,Earth Spirit,地土灵兽帽,地土靈獸帽,头盔,pelt,精英,20,107,152,129.5,104,76,3,2/3/3,0,assets/equipment/antlers.webp
dre,Sky Spirit,天翔灵兽帽,天翔靈獸帽,头盔,pelt,精英,20,103,155,129.0,113,83,3,2/3/3,0,assets/equipment/falcon_mask.webp
drf,Dream Spirit,幽梦灵兽帽,幽夢靈獸帽,头盔,pelt,精英,20,109,159,134.0,118,85,3,2/3/3,0,assets/equipment/spirit_mask.webp
bab,Carnage Helm,屠杀头盔,屠殺頭盔,头盔,phlm,精英,25,102,147,124.5,106,60,3,2/3/3,0,assets/equipment/jawbone_cap.webp
bac,Fury Visor,暴怒面甲,暴怒面甲,头盔,phlm,精英,35,105,150,127.5,129,66,3,2/3/3,0,assets/equipment/fanged_helm.webp
bad,Destroyer Helm,毁灭者头盔,毀滅者頭盔,头盔,phlm,精英,45,111,156,133.5,151,73,3,2/3/3,0,assets/equipment/horned_helm.webp
bae,Conqueror Crown,征服者盔冠,征服者盔冠,头盔,phlm,精英,50,114,159,136.5,174,80,3,2/3/3,0,assets/equipment/assault_helmet.webp
baf,Guardian Crown,守护者盔冠,守護者盔冠,头盔,phlm,精英,55,117,168,142.5,196,85,3,2/3/3,0,assets/equipment/avenger_guard.webp
pab,Sacred Targe,神圣小盾,神聖小盾,盾牌,ashd,精英,45,126,158,142.0,86,63,4,3/4/4,0,assets/equipment/targe.webp
pac,Sacred Rondache,神圣轻圆盾,神聖輕圓盾,盾牌,ashd,精英,68,138,164,151.0,109,70,4,3/4/4,0,assets/equipment/rondache.webp
pad,Ancient Shield,库拉斯特盾,庫拉斯特盾,盾牌,ashd,精英,55,154,172,163.0,124,74,4,3/4/4,0,assets/equipment/heraldic_shield.webp
pae,Zakarum Shield,撒卡兰姆盾,撒卡蘭姆盾,盾牌,ashd,精英,65,169,193,181.0,142,82,4,3/4/4,0,assets/equipment/aerin_shield.webp
paf,Vortex Shield,涡旋盾,渦旋盾,盾牌,ashd,精英,90,182,225,203.5,148,85,4,3/4/4,0,assets/equipment/crown_shield.webp
neb,Minion Skull,仆从颅骨,僕從顱骨,盾牌,head,精英,20,95,139,117.0,77,59,2,2/2/2,0,assets/equipment/preserved_head.webp
neg,Hellspawn Skull,地狱爪牙颅骨,地獄爪牙顱骨,盾牌,head,精英,20,96,141,118.5,82,67,2,2/2/2,0,assets/equipment/zombie_head.webp
ned,Overseer Skull,督军颅骨,督軍顱骨,盾牌,head,精英,20,98,142,120.0,91,66,2,2/2/2,0,assets/equipment/unraveller_head.webp
nee,Succubus Skull,魅魔颅骨,魅魔顱骨,盾牌,head,精英,20,100,146,123.0,95,81,2,2/2/2,0,assets/equipment/gargoyle_head.webp
nef,Bloodlord Skull,鲜血之王颅骨,鮮血之王顱骨,盾牌,head,精英,20,103,148,125.5,106,85,2,2/2/2,0,assets/equipment/demon_head.webp
wa1,Old Book,旧书,舊書,盾牌,grim,普通,20,2,5,3.5,12,4,2,2/2/2,0,assets/equipment/oldbook.webp
wa2,Tome,秘典,秘典,盾牌,grim,普通,20,4,8,6.0,14,8,2,2/2/2,0,assets/equipment/tome_book.webp
wa3,Codex,宝典,寶典,盾牌,grim,普通,20,6,10,8.0,18,16,2,2/2/2,0,assets/equipment/codex.webp
wa4,Compendium,纲要,綱要,盾牌,grim,普通,20,10,16,13.0,20,20,2,2/2/2,0,assets/equipment/compendium.webp
wa5,Grimoire,魔典,魔典,盾牌,grim,普通,20,15,20,17.5,25,24,2,2/2/2,0,assets/equipment/grimoire.webp
wa6,Burnt Text,焦灼书册,焦灼書冊,盾牌,grim,扩展,20,38,48,43.0,38,33,2,2/2/2,0,assets/equipment/oldbook.webp
wa7,Dark Tome,黑暗秘典,黑暗秘典,盾牌,grim,扩展,20,41,52,46.5,41,39,2,2/2/2,0,assets/equipment/tome_book.webp
wa8,Dark Codex,黑暗宝典,黑暗寶典,盾牌,grim,扩展,20,44,55,49.5,47,45,2,2/2/2,0,assets/equipment/codex.webp
wa9,Possessed Compendium,著魔纲要,著魔綱要,盾牌,grim,扩展,20,50,64,57.0,50,49,2,2/2/2,0,assets/equipment/compendium.webp
waa,Possessed Grimoire,著魔魔典,著魔魔典,盾牌,grim,扩展,20,58,70,64.0,58,54,2,2/2/2,0,assets/equipment/grimoire.webp
wab,Forgotten Volume,被遗忘的书册,被遺忘的書冊,盾牌,grim,精英,20,95,139,117.0,77,59,2,2/2/2,0,assets/equipment/oldbook.webp
wac,Occult Tome,神秘秘典,神秘秘典,盾牌,grim,精英,20,96,141,118.5,82,67,2,2/2/2,0,assets/equipment/tome_book.webp
wad,Occult Codex,神秘宝典,神秘寶典,盾牌,grim,精英,20,98,142,120.0,91,66,2,2/2/2,0,assets/equipment/codex.webp
wae,Blasphemous Compendium,亵渎纲要,褻瀆綱要,盾牌,grim,精英,20,100,146,123.0,95,81,2,2/2/2,0,assets/equipment/compendium.webp
waf,Blasphemous Grimoire,亵渎魔典,褻瀆魔典,盾牌,grim,精英,20,103,148,125.5,106,85,2,2/2/2,0,assets/equipment/grimoire.webp
