code,name_en,name_zh,name_zh_tw,category,type_raw,tier,durability,damage_min,damage_max,damage_avg,reqstr,reqdex,qlvl,max_sockets,sockets3,speed,rangeadder,img
7qr,Scissors Suwayyah,穿击剪刃,穿擊剪刃,拳套,h2h2,精英,68,40,51,45.5,118,118,85,3,2/3/3,0,1,assets/equipment/scissors_katar.webp
7ha,Tomahawk,轻斧,輕斧,斧,axe,精英,28,33,58,45.5,125,67,54,2,2/2/2,0,0,assets/equipment/hand_axe.webp
7ax,Small Crescent,弯月斧,彎月斧,斧,axe,精英,24,38,60,49.0,115,83,61,4,4/4/4,10,1,assets/equipment/axe.webp
72a,Ettin Axe,双头斧,雙頭斧,斧,axe,精英,24,33,66,49.5,145,45,70,5,4/5/5,10,1,assets/equipment/double_axe.webp
7mp,War Spike,征战镐,征戰鎬,斧,axe,精英,26,30,48,39.0,133,54,79,6,4/5/6,-10,1,assets/equipment/military_pick.webp
7wa,Berserker Axe,狂战斧,狂戰斧,斧,axe,精英,26,24,71,47.5,138,59,85,6,4/5/6,0,2,assets/equipment/war_axe.webp
7la,Feral Axe,蛮野斧,蠻野斧,斧,axe,精英,30,25,123,74.0,196,0,57,4,4/4/4,-15,2,assets/equipment/large_axe.webp
7ba,Silver-edged Axe,银刃斧,銀刃斧,斧,axe,精英,35,62,110,86.0,166,65,65,5,4/5/5,0,2,assets/equipment/broad_axe.webp
7bt,Decapitator,斩首斧,斬首斧,斧,axe,精英,40,49,137,93.0,189,33,73,5,4/5/5,10,2,assets/equipment/battle_axe.webp
7ga,Champion Axe,豪杰斧,豪傑斧,斧,axe,精英,50,59,94,76.5,167,59,82,6,4/5/6,-10,2,assets/equipment/great_axe.webp
7gi,Glorious Axe,荣光斧,榮光斧,斧,axe,精英,50,60,124,92.0,164,55,85,6,4/5/6,10,3,assets/equipment/giant_axe.webp
7wn,Polished Wand,抛光魔杖,拋光魔杖,魔杖,wand,精英,22,18,33,25.5,25,0,55,2,2/2/2,0,0,assets/equipment/wand.webp
7yw,Ghost Wand,鬼魂魔杖,鬼魂魔杖,魔杖,wand,精英,14,20,40,30.0,25,0,65,2,2/2/2,10,0,assets/equipment/yew_wand.webp
7bw,Lich Wand,巫妖魔杖,巫妖魔杖,魔杖,wand,精英,17,10,31,20.5,25,0,75,2,2/2/2,-20,0,assets/equipment/bone_wand.webp
7gw,Unearthed Wand,埋骨魔杖,埋骨魔杖,魔杖,wand,精英,18,22,28,25.0,25,0,86,2,2/2/2,0,0,assets/equipment/grim_wand.webp
7cl,Truncheon,打击棍,打擊棍,棍棒,club,精英,55,35,43,39.0,88,43,52,2,2/2/2,-10,0,assets/equipment/club.webp
7sc,Mighty Scepter,强威权杖,強威權杖,权杖,scep,精英,50,40,52,46.0,125,65,62,2,2/2/2,0,0,assets/equipment/scepter.webp
7qs,Seraph Rod,炽天使节杖,熾天使節杖,权杖,scep,精英,60,45,54,49.5,108,69,76,3,3/3/3,10,1,assets/equipment/grand_scepter.webp
7ws,Caduceus,神使权杖,神使權杖,权杖,scep,精英,70,37,43,40.0,97,70,85,5,3/5/5,-10,1,assets/equipment/war_scepter.webp
7sp,Tyrant Club,暴君棍棒,暴君棍棒,棍棒,club,精英,65,32,58,45.0,133,0,57,3,3/3/3,0,1,assets/equipment/spiked_club.webp
7ma,Reinforced Mace,强化钉锤,強化釘鎚,钉头锤,mace,精英,60,41,49,45.0,145,46,63,2,2/2/2,0,0,assets/equipment/mace.webp
7mt,Devil Star,妖鬼钉头锤,妖鬼釘頭鎚,钉头锤,mace,精英,72,43,53,48.0,153,44,70,3,3/3/3,10,1,assets/equipment/morning_star.webp
7fl,Scourge,罪罚连枷,罪罰連枷,钉头锤,mace,精英,65,3,80,41.5,125,77,76,5,3/4/5,-10,2,assets/equipment/flail.webp
7wh,Legendary Mallet,传说战锤,傳說戰鎚,锤,hamm,精英,65,50,61,55.5,189,0,82,4,3/4/4,20,1,assets/equipment/war_hammer.webp
7m7,Ogre Maul,巨魔重锤,巨魔重鎚,锤,hamm,精英,60,77,106,91.5,225,0,69,6,3/4/6,10,1,assets/equipment/maul.webp
7gm,Thunder Maul,雷霆重锤,雷霆重鎚,锤,hamm,精英,60,33,180,106.5,253,0,85,6,3/4/6,20,2,assets/equipment/great_maul.webp
7ss,Falcata,法卡塔剑,法卡塔劍,剑,swor,精英,24,31,59,45.0,150,88,56,2,2/2/2,0,0,assets/equipment/short_sword.webp
7sm,Ataghan,土耳其弯刀,土耳其彎刀,剑,swor,精英,22,26,46,36.0,138,95,61,2,2/2/2,-20,0,assets/equipment/scimitar.webp
7sb,Elegant Blade,典雅弯刀,典雅彎刀,剑,swor,精英,32,33,45,39.0,109,122,63,2,2/2/2,-10,0,assets/equipment/saber.webp
7fc,Hydra Edge,多头蛇刃,多頭蛇刃,剑,swor,精英,32,28,68,48.0,142,105,69,2,2/2/2,10,0,assets/equipment/falchion.webp
7cr,Phase Blade,幻化之刃,幻化之刃,剑,swor,精英,32,31,35,33.0,25,136,73,6,3/4/6,-30,1,assets/equipment/crystal_sword.webp
7bs,Conquest Sword,征服之剑,征服之劍,剑,swor,精英,32,37,53,45.0,142,112,78,4,3/4/4,0,0,assets/equipment/broad_sword.webp
7ls,Cryptic Sword,绝秘剑,絕秘劍,剑,swor,精英,44,5,77,41.0,99,109,82,4,3/4/4,-10,1,assets/equipment/long_sword.webp
7wd,Mythical Sword,秘仪剑,秘儀劍,剑,swor,精英,44,40,50,45.0,147,124,85,3,3/3/3,0,1,assets/equipment/war_sword.webp
72h,Legend Sword,传说剑,傳說劍,剑,swor,精英,44,22,56,39.0,175,100,59,3,3/3/3,-15,2,assets/equipment/two_handed_sword.webp
7cm,Highland Blade,高地剑,高地劍,剑,swor,精英,50,22,62,42.0,171,104,66,4,3/4/4,-5,2,assets/equipment/claymore.webp
7gs,Balrog Blade,炎魔之刃,炎魔之刃,剑,swor,精英,50,15,75,45.0,185,87,71,4,3/4/4,0,2,assets/equipment/giant_sword.webp
7b7,Champion Sword,豪杰大剑,豪傑大劍,剑,swor,精英,40,24,54,39.0,163,103,77,4,3/4/4,-10,2,assets/equipment/bastard_sword.webp
7fb,Colossal Sword,巨神剑,巨神劍,剑,swor,精英,50,26,70,48.0,182,95,80,5,3/4/5,10,2,assets/equipment/flamberge.webp
7gd,Colossus Blade,巨神刃,巨神刃,剑,swor,精英,50,25,65,45.0,189,110,85,6,3/4/6,5,2,assets/equipment/great_sword.webp
7dg,Bone Knife,骸骨小刀,骸骨小刀,匕首,knif,精英,26,23,49,36.0,38,75,58,1,1/1/1,-20,0,assets/equipment/dagger.webp
7di,Mithral Point,秘银尖刀,秘銀尖刀,匕首,knif,精英,55,37,53,45.0,55,98,70,1,1/1/1,0,0,assets/equipment/dirk.webp
7kr,Fanged Knife,尖齿小刀,尖齒小刀,匕首,knif,精英,36,15,57,36.0,42,86,83,3,2/3/3,-20,0,assets/equipment/kriss.webp
7bl,Legend Spike,传说尖刀,傳說尖刀,匕首,knif,精英,47,31,47,39.0,65,67,85,3,2/3/3,-10,0,assets/equipment/blade.webp
7tk,Flying Knife,高速飞刀,高速飛刀,飞刀,tkni,精英,6,23,54,38.5,48,141,64,2,1/2/2,0,0,assets/equipment/throwing_knife.webp
7ta,Flying Axe,高速飞斧,高速飛斧,投掷斧,taxe,精英,15,17,65,41.0,88,108,56,2,1/2/2,10,0,assets/equipment/throwing_axe.webp
7bk,Winged Knife,刃翼飞刀,刃翼飛刀,飞刀,tkni,精英,20,27,35,31.0,45,142,77,2,1/2/2,-20,0,assets/equipment/balanced_knife.webp
7b8,Winged Axe,刃翼飞斧,刃翼飛斧,投掷斧,taxe,精英,16,11,56,33.5,96,122,80,6,2/4/6,-10,0,assets/equipment/balanced_axe.webp
7ja,Hyperion Javelin,亥伯龙标枪,亥伯龍標槍,标枪,jave,精英,10,21,57,39.0,98,123,54,3,1/2/3,-10,2,assets/equipment/javelin.webp
7pi,Stygian Pilum,冥河标枪,冥河標槍,标枪,jave,精英,12,14,64,39.0,118,112,62,3,1/2/3,0,2,assets/equipment/pilum.webp
7s7,Balrog Spear,炎魔长矛,炎魔長矛,标枪,jave,精英,14,33,63,48.0,127,95,71,3,1/2/3,10,2,assets/equipment/short_spear.webp
7gl,Ghost Glaive,鬼魂刃枪,鬼魂刃槍,标枪,jave,精英,16,19,60,39.5,89,137,79,4,1/2/3,20,2,assets/equipment/glaive.webp
7ts,Winged Harpoon,飞翼鱼叉,飛翼魚叉,标枪,jave,精英,18,27,35,31.0,76,145,85,4,1/2/3,-10,2,assets/equipment/throwing_spear.webp
7sr,Hyperion Spear,亥伯龙矛,亥伯龍矛,长矛,spea,精英,30,35,119,77.0,155,120,58,3,3/3/3,-10,3,assets/equipment/spear.webp
7tr,Stygian Pike,冥河战矛,冥河戰矛,长矛,spea,精英,35,29,144,86.5,168,97,66,4,3/4/4,0,3,assets/equipment/trident.webp
7br,Mancatcher,捕人叉,捕人叉,长矛,spea,精英,28,42,92,67.0,132,134,74,5,3/4/5,-20,4,assets/equipment/brandistock.webp
7st,Ghost Spear,鬼魂长矛,鬼魂長矛,长矛,spea,精英,28,18,155,86.5,122,163,83,6,3/4/6,0,4,assets/equipment/spetum.webp
7p7,War Pike,征战长枪,征戰長槍,长矛,spea,精英,25,33,178,105.5,165,106,85,6,3/4/6,20,4,assets/equipment/pike.webp
7o7,Ogre Axe,巨魔斧,巨魔斧,长柄武器,pole,精英,50,28,145,86.5,195,75,60,3,3/3/3,0,2,assets/equipment/bardiche.webp
7vo,Colossus Voulge,巨神长柄斧,巨神長柄斧,长柄武器,pole,精英,50,17,165,91.0,210,55,64,4,3/4/4,10,2,assets/equipment/voulge.webp
7s8,Thresher,斩镰,斬鐮,长柄武器,pole,精英,65,12,141,76.5,152,118,71,5,3/4/5,-10,1,assets/equipment/scythe.webp
7pa,Cryptic Axe,绝秘斧,絕秘斧,长柄武器,pole,精英,65,33,150,91.5,165,103,79,5,3/4/5,10,3,assets/equipment/poleaxe.webp
7h7,Great Poleaxe,巨型长柄斧,巨型長柄斧,长柄武器,pole,精英,55,46,127,86.5,179,99,84,6,3/4/6,0,4,assets/equipment/halberd.webp
7wc,Giant Thresher,巨型斩镰,巨型斬鐮,长柄武器,pole,精英,55,40,114,77.0,188,140,85,6,3/4/6,-10,4,assets/equipment/war_scythe.webp
6ss,Walking Stick,手杖,手杖,法杖,staf,精英,20,69,85,77.0,25,0,58,2,2/2/2,-10,1,assets/equipment/short_staff.webp
6ls,Stalagmite,钟乳石杖,鐘乳石杖,法杖,staf,精英,30,75,107,91.0,63,35,66,3,3/3/3,10,1,assets/equipment/long_staff.webp
6cs,Elder Staff,长者法杖,長者法杖,法杖,staf,精英,35,80,93,86.5,44,37,74,4,4/4/4,0,1,assets/equipment/gnarled_staff.webp
6bs,Shillelagh,节瘤木杖,節瘤木杖,法杖,staf,精英,40,65,108,86.5,52,27,83,4,4/4/4,0,1,assets/equipment/battle_staff.webp
6ws,Archon Staff,统御者法杖,統御者法杖,法杖,staf,精英,26,83,99,91.0,34,0,85,6,5/6/6,10,1,assets/equipment/war_staff.webp
6sb,Spider Bow,蜘蛛弓,蜘蛛弓,弓,bow,精英,20,23,50,36.5,64,143,55,3,3/3/3,5,0,assets/equipment/short_bow.webp
6hb,Blade Bow,刀锋弓,刀鋒弓,弓,bow,精英,32,21,41,31.0,76,119,60,4,3/4/4,-10,0,assets/equipment/hunters_bow.webp
6lb,Shadow Bow,暗影弓,暗影弓,弓,bow,精英,28,15,59,37.0,52,188,63,5,3/4/5,0,0,assets/equipment/long_bow.webp
6cb,Great Bow,巨弓,巨弓,弓,bow,精英,36,12,52,32.0,121,107,68,4,3/4/4,-10,0,assets/equipment/composite_bow.webp
6s7,Diamond Bow,钻石弓,鑽石弓,弓,bow,精英,40,33,40,36.5,89,132,72,5,3/4/5,0,0,assets/equipment/short_battle_bow.webp
6l7,Crusader Bow,圣教军长弓,聖教軍長弓,弓,bow,精英,44,15,63,39.0,97,121,77,6,3/4/6,10,0,assets/equipment/long_battle_bow.webp
6sw,Ward Bow,庇护弓,庇護弓,弓,bow,精英,48,20,53,36.5,72,146,80,5,3/4/5,0,0,assets/equipment/short_war_bow.webp
6lw,Hydra Bow,多头蛇弓,多頭蛇弓,弓,bow,精英,55,10,68,39.0,134,167,85,6,3/4/6,10,0,assets/equipment/long_war_bow.webp
6lx,Pellet Bow,弹丸弩,彈丸弩,弩,xbow,精英,30,28,73,50.5,83,155,57,3,3/3/3,-10,0,assets/equipment/light_crossbow.webp
6mx,Gorgon Crossbow,蛇魔弩,蛇魔弩,弩,xbow,精英,40,25,87,56.0,117,105,67,4,3/4/4,0,0,assets/equipment/crossbow.webp
6hx,Colossus Crossbow,巨神弩,巨神弩,弩,xbow,精英,50,32,91,61.5,163,77,75,6,3/4/6,10,0,assets/equipment/heavy_crossbow.webp
6rx,Demon Crossbow,恶魔弩,惡魔弩,弩,xbow,精英,40,26,40,33.0,141,98,84,5,3/4/5,-60,0,assets/equipment/repeating_crossbow.webp
ob1,Eagle Orb,鹰之法珠,鷹之法珠,法球,orb,普通,20,2,5,3.5,0,0,1,4,2/2/2,-10,0,assets/equipment/eagle_orb.webp
ob2,Sacred Globe,神圣天球,神聖天球,法球,orb,普通,30,3,8,5.5,0,0,8,4,2/2/2,-10,0,assets/equipment/sacred_globe.webp
ob3,Smoked Sphere,拢烟之球,攏煙之球,法球,orb,普通,35,4,10,7.0,0,0,12,4,2/2/2,0,0,assets/equipment/smoked_sphere.webp
ob4,Clasped Orb,握扣法珠,握扣法珠,法球,orb,普通,40,5,12,8.5,0,0,17,4,2/2/2,0,0,assets/equipment/clasped_orb.webp
ob5,Jared's Stone,杰瑞德之石,傑瑞德之石,法球,orb,普通,50,8,18,13.0,0,0,24,4,2/3/3,10,0,assets/equipment/dragon_stone.webp
am1,Stag Bow,猎鹿弓,獵鹿弓,弓,abow,普通,48,7,12,9.5,30,45,18,5,3/4/5,0,0,assets/equipment/stag_bow.webp
am2,Reflex Bow,反射弓,反射弓,弓,abow,普通,55,9,19,14.0,35,60,27,5,3/4/5,10,0,assets/equipment/reflex_bow.webp
am3,Maiden Spear,女战长矛,女戰長矛,长矛,aspe,普通,28,18,24,21.0,54,40,18,6,3/4/6,0,4,assets/equipment/maiden_spear.webp
am4,Maiden Pike,女战长枪,女戰長槍,长矛,aspe,普通,25,23,55,39.0,63,52,27,6,3/4/6,10,4,assets/equipment/maiden_pike.webp
am5,Maiden Javelin,女战标枪,女戰標槍,标枪,ajav,普通,6,8,14,11.0,33,47,23,3,1/2/3,-10,2,assets/equipment/maiden_javelin.webp
ob6,Glowing Orb,灵光法珠,靈光法珠,法球,orb,扩展,20,8,21,14.5,0,0,32,4,2/2/2,-10,0,assets/equipment/eagle_orb.webp
ob7,Crystalline Globe,水晶天球,水晶天球,法球,orb,扩展,30,10,26,18.0,0,0,37,4,2/2/2,-10,0,assets/equipment/sacred_globe.webp
ob8,Cloudy Sphere,云雾之球,雲霧之球,法球,orb,扩展,35,11,29,20.0,0,0,41,4,2/2/2,0,0,assets/equipment/smoked_sphere.webp
ob9,Sparkling Ball,闪耀之球,閃耀之球,法球,orb,扩展,40,13,32,22.5,0,0,46,4,2/2/2,0,0,assets/equipment/clasped_orb.webp
oba,Swirling Crystal,涡流水晶,渦流水晶,法球,orb,扩展,50,18,42,30.0,0,0,50,4,2/3/3,10,0,assets/equipment/dragon_stone.webp
am6,Ashwood Bow,梣木弓,梣木弓,弓,abow,扩展,48,16,29,22.5,56,77,39,5,3/4/5,0,0,assets/equipment/stag_bow.webp
am7,Ceremonial Bow,仪礼弓,儀禮弓,弓,abow,扩展,55,19,41,30.0,73,110,47,5,3/4/5,10,0,assets/equipment/reflex_bow.webp
am8,Ceremonial Spear,仪礼长矛,儀禮長矛,长矛,aspe,扩展,28,34,51,42.5,101,80,43,6,3/4/6,0,4,assets/equipment/maiden_spear.webp
am9,Ceremonial Pike,仪礼长枪,儀禮長槍,长矛,aspe,扩展,25,42,101,71.5,115,98,51,6,3/4/6,20,4,assets/equipment/maiden_pike.webp
ama,Ceremonial Javelin,仪礼标枪,儀禮標槍,标枪,ajav,扩展,6,18,35,26.5,25,109,35,6,1/2/3,-10,2,assets/equipment/maiden_javelin.webp
obb,Heavenly Stone,天堂之石,天堂之石,法球,orb,精英,20,21,46,33.5,0,0,59,4,2/2/2,-10,0,assets/equipment/eagle_orb.webp
obc,Eldritch Orb,异能法珠,異能法珠,法球,orb,精英,30,18,50,34.0,0,0,67,4,2/2/2,-10,0,assets/equipment/sacred_globe.webp
obd,Demon Heart,恶魔心石,惡魔心石,法球,orb,精英,35,23,55,39.0,0,0,75,4,2/2/2,0,0,assets/equipment/smoked_sphere.webp
obe,Vortex Orb,漩涡法珠,漩渦法珠,法球,orb,精英,40,12,66,39.0,0,0,84,4,2/2/2,0,0,assets/equipment/clasped_orb.webp
obf,Dimensional Shard,次元法珠,次元法珠,法球,orb,精英,50,30,53,41.5,0,0,85,4,2/3/3,10,0,assets/equipment/dragon_stone.webp
amb,Matriarchal Bow,女杰之弓,女傑之弓,弓,abow,精英,48,20,47,33.5,87,187,53,5,3/4/5,-10,0,assets/equipment/stag_bow.webp
amc,Grand Matron Bow,主母之弓,主母之弓,弓,abow,精英,55,14,72,43.0,108,152,78,5,3/4/5,10,0,assets/equipment/reflex_bow.webp
amd,Matriarchal Spear,女杰长矛,女傑長矛,长矛,aspe,精英,28,65,95,80.0,114,142,61,6,3/4/6,0,4,assets/equipment/maiden_spear.webp
ame,Matriarchal Pike,女杰长枪,女傑長槍,长矛,aspe,精英,25,37,153,95.0,132,149,81,6,3/4/6,20,4,assets/equipment/maiden_pike.webp
amf,Matriarchal Javelin,女杰标枪,女傑標槍,标枪,ajav,精英,6,30,54,42.0,107,151,65,3,1/2/3,-10,2,assets/equipment/maiden_javelin.webp
aq0,Magic Arrows,弓箭,弓箭,其他,mboq,扩展,0,0,0,0,0,0,1,3,1/2/3,0,0,assets/equipment/arrows2.webp
cq0,Magic Bolts,弩失,弩失,其他,mxbq,扩展,0,0,0,0,0,0,1,3,1/2/3,0,0,assets/equipment/bolts2.webp
